Disc,Track#,Song,Artist,Disc,Track#,,,,,,
1,00,Carry On,Fun,1,00,,,,,,
1,01,Alone,Heart,1,01,,,,,,
1,02,Who Knew,Pink,1,02,,,,,,
1,03,Someone Like You,Adele,1,03,,,,,,
1,04,Over You,Daughtry,1,04,,,,,,
1,05,Stay,Rihanna,1,05,,,,,,
1,06,When I Was Your Man,Bruno Mars,1,06,,,,,,
1,07,Teenage Dream,Katy Perry,1,07,,,,,,
1,08,Looking For a New Love,Jody Watley,1,08,,,,,,
1,09,What Doesn't Kill You (Stronger),Kelly Clarkson,1,09,,,,,,
1,10,After All These Years,Journey,1,10,,,,,,
1,11,Keep Your Head Up,Andy Grammer,1,11,,,,,,
1,12,Girl On Fire,Alicia Keys,1,12,,,,,,
1,13,I Love You,Celine Dion,1,13,,,,,,
1,14,Said I Loved You..But I Lied,Michael Bolton,1,14,,,,,,
1,15,Express Yourself,Madonna,1,15,,,,,,
1,16,I Want to Know What Love Is,Foreigner,1,16,,,,,,
1,17,Angel Eyes,The Jeff Healy Band,1,17,,,,,,
1,18,Don't Mean Nothing,Richard Marx,1,18,,,,,,
1,19,Hello,Adele,1,19,,,,,,
1,20,Get Lucky,Daft Punk,1,20,,,,,,
1,21,Home,Daughtry,1,21,,,,,,
1,22,Valentine,Martina McBride,1,22,,,,,,
1,23,All The Right Moves,OneRepublic,1,23,,,,,,
1,24,Wish You Were Here,Pink Floyd,1,24,,,,,,
1,25,Reach,Gloria Estefan,1,25,,,,,,
1,26,Fight Song,Rachel Platten,1,26,,,,,,
1,27,Little Lies,Fleetwood Mac,1,27,,,,,,
1,28,Uptown Funk [feat Bruno Mars],Mark Ronson,1,28,,,,,,
1,29,Better in Time,Leona Lewis,1,29,,,,,,
1,30,Time After Time,Cyndi Lauper,1,30,,,,,,
1,31,You And I,Eddie Rabbitt,1,31,,,,,,
1,32,Always,Atlantic Starr,1,32,,,,,,
1,33,That's What Friends Are For,Dionne Warwick,1,33,,,,,,
1,34,Danger Zone,Kenny Loggins,1,34,,,,,,
1,35,Almost Paradise,Mike Reno,1,35,,,,,,
1,36,Take My Breath Away,Berlin,1,36,,,,,,
1,37,I Wish It Would Rain Down,Phil Collins,1,37,,,,,,
1,38,Let's Hear It For The Boys,Deniece Williams,1,38,,,,,,
1,39,End of the Innocence,Don Henley,1,39,,,,,,
1,40,Greatest Love of All,Whitney Houston,1,40,,,,,,
1,41,Lady,Styx,1,41,,,,,,
1,42,Imagine,John Lennon,1,42,,,,,,
1,43,The Sign,Ace of Base,1,43,,,,,,
1,44,I'll Always Love You,Taylor Dayne,1,44,,,,,,
1,45,All By Myself,Eric Carmen,1,45,,,,,,
1,46,Moves Like Jagger,Maroon 5,1,46,,,,,,
1,47,Wanted Dead or Alive,Bon Jovi,1,47,,,,,,
1,48,This Kiss,Faith Hill,1,48,,,,,,
