Disc,Track#,Artist,Song,Artist,Disc,Track#
1,00,Fun,Carry On,Fun,1,00
1,01,Heart,Alone,Heart,1,01
1,02,Pink,Who Knew,Pink,1,02
1,03,Adele,Someone Like You,Adele,1,03
1,04,Daughtry,Over You,Daughtry,1,04
1,05,Rihanna,Stay,Rihanna,1,05
1,06,Bruno Mars,When I Was Your Man,Bruno Mars,1,06
1,07,Katy Perry,Teenage Dream,Katy Perry,1,07
1,08,Jody Watley,Looking For a New Love,Jody Watley,1,08
1,09,Kelly Clarkson,What Doesn't Kill You (Stronger),Kelly Clarkson,1,09
1,10,Journey,After All These Years,Journey,1,10
1,11,Andy Grammer,Keep Your Head Up,Andy Grammer,1,11
1,12,Alicia Keys,Girl On Fire,Alicia Keys,1,12
1,13,Celine Dion,I Love You,Celine Dion,1,13
1,14,Michael Bolton,Said I Loved You..But I Lied,Michael Bolton,1,14
1,15,Madonna,Express Yourself,Madonna,1,15
1,16,Foreigner,I Want to Know What Love Is,Foreigner,1,16
1,17,The Jeff Healy Band,Angel Eyes,The Jeff Healy Band,1,17
1,18,Richard Marx,Don't Mean Nothing,Richard Marx,1,18
1,19,Adele,Hello,Adele,1,19
1,20,Daft Punk,Get Lucky,Daft Punk,1,20
1,21,Daughtry,Home,Daughtry,1,21
1,22,Martina McBride,Valentine,Martina McBride,1,22
1,23,OneRepublic,All The Right Moves,OneRepublic,1,23
1,24,Pink Floyd,Wish You Were Here,Pink Floyd,1,24
1,25,Gloria Estefan,Reach,Gloria Estefan,1,25
1,26,Rachel Platten,Fight Song,Rachel Platten,1,26
1,27,Fleetwood Mac,Little Lies,Fleetwood Mac,1,27
1,28,Mark Ronson,Uptown Funk [feat Bruno Mars],Mark Ronson,1,28
1,29,Leona Lewis,Better in Time,Leona Lewis,1,29
1,30,Cyndi Lauper,Time After Time,Cyndi Lauper,1,30
1,31,Eddie Rabbitt,You And I,Eddie Rabbitt,1,31
1,32,Atlantic Starr,Always,Atlantic Starr,1,32
1,33,Dionne Warwick,That's What Friends Are For,Dionne Warwick,1,33
1,34,Kenny Loggins,Danger Zone,Kenny Loggins,1,34
1,35,Mike Reno,Almost Paradise,Mike Reno,1,35
1,36,Berlin,Take My Breath Away,Berlin,1,36
1,37,Phil Collins,I Wish It Would Rain Down,Phil Collins,1,37
1,38,Deniece Williams,Let's Hear It For The Boys,Deniece Williams,1,38
1,39,Don Henley,End of the Innocence,Don Henley,1,39
1,40,Whitney Houston,Greatest Love of All,Whitney Houston,1,40
1,41,Styx,Lady,Styx,1,41
1,42,John Lennon,Imagine,John Lennon,1,42
1,43,Ace of Base,The Sign,Ace of Base,1,43
1,44,Taylor Dayne,I'll Always Love You,Taylor Dayne,1,44
1,45,Eric Carmen,All By Myself,Eric Carmen,1,45
1,46,Maroon 5,Moves Like Jagger,Maroon 5,1,46
1,47,Bon Jovi,Wanted Dead or Alive,Bon Jovi,1,47
1,48,Faith Hill,This Kiss,Faith Hill,1,48
1,49,Rod Stewart,Tonight's The Night,Rod Stewart,1,49
1,50,Taylor Swift,Love Story,Taylor Swift,1,50
1,51,Celine Dion,Because You Loved Me,Celine Dion,1,51
1,52,Poison,Every Rose Has It's Thorn,Poison,1,52
1,53,The Bangles,A Hazy Shade of Winter,The Bangles,1,53
1,54,Chicago,If You Leave Me Now,Chicago,1,54
1,55,Surface,Shower Me With Your Love,Surface,1,55
1,56,Bryan Adams,(Everything I Do) I Do It For You,Bryan Adams,1,56
1,57,Bobby McFerrin,Don't Worry Be Happy,Bobby McFerrin,1,57
1,58,Steve Winwood,The Finer Things,Steve Winwood,1,58
1,59,The Commodores,Three Times A Lady,The Commodores,1,59
1,60,Kenny G,Songbird,Kenny G,1,60
1,61,Traveling Willburys,Handle Me With Care,Traveling Willburys,1,61
1,62,Air Supply,Just As I Am,Air Supply,1,62
1,63,Luther Vandross,Here and Now,Luther Vandross,1,63
1,64,Louis Armstrong,What a Wonderful World,Louis Armstrong,1,64
1,65,Michael Damian,Rock On,Michael Damian,1,65
1,66,Billy Squier,My Kinda Lover,Billy Squier,1,66
1,67,Peter Cetera,Glory of Love,Peter Cetera,1,67
1,68,Whitesnake,Here I Go Again,Whitesnake,1,68
1,69,Tiffany,Could've Been,Tiffany,1,69
1,70,Patsy Cline,Crazy,Patsy Cline,1,70
1,71,Police,Every Breath You Take,Police,1,71
1,72,Irene Cara,Flashdance..What a Feeling,Irene Cara,1,72
1,73,Justin Timberlake,Mirrors,Justin Timberlake,1,73
1,74,Lady Antebellum,Just a Kiss,Lady Antebellum,1,74
1,75,Led Zeppelin,Stairway To Heaven,Led Zeppelin,1,75
1,76,Journey,Open Arms,Journey,1,76
1,77,Laura Branigan,Self Control,Laura Branigan,1,77
1,78,Michael Buble,Home,Michael Buble,1,78
1,79,John Waite,Missing You,John Waite,1,79
2,00,Fun,We Are Young,Fun,2,00
2,01,Heart,These Dreams,Heart,2,01
2,02,Pink,Blow Me (One Last Kiss),Pink,2,02
2,03,Adele,Set Fire To The Rain,Adele,2,03
2,04,Daughtry,No Surprise,Daughtry,2,04
2,05,Rihanna,We Found Love,Rihanna,2,05
2,06,Bruno Mars,Treasure,Bruno Mars,2,06
2,07,Katy Perry,Roar,Katy Perry,2,07
2,08,Jody Watley,Real Love,Jody Watley,2,08
2,09,Kelly Clarkson,Because of You,Kelly Clarkson,2,09
2,10,Lonestar,Amazed,Lonestar,2,10
2,11,The Cure,Just Like Heaven,The Cure,2,11
2,12,Christina Aguilera,Hurt,Christina Aguilera,2,12
2,13,Robin Thicke,Blurred Lines,Robin Thicke,2,13
2,14,Richard Clayderman,Chariots of Fire,Richard Clayderman,2,14
2,15,Madonna,Open Your Heart,Madonna,2,15
2,16,Foreigner,I Have Waited For So Long,Foreigner,2,16
2,17,Jewel,You Were Meant for Me,Jewel,2,17
2,18,Richard Marx,The Flame of Love,Richard Marx,2,18
2,19,Adele,Remedy,Adele,2,19
2,20,Goo Goo Dolls,Iris,Goo Goo Dolls,2,20
2,21,Daughtry,Feels Like Tonight,Daughtry,2,21
2,22,Idina Menzel,Let It Go,Idina Menzel,2,22
2,23,OneRepublic,Counting Stars,OneRepublic,2,23
2,24,Pink Floyd,Any Colour You Like,Pink Floyd,2,24
2,25,Gloria Estefan,Don't Want to Lose You Now,Gloria Estefan,2,25
2,26,Meghan Trainor,Like I'm Going to Lose You,Meghan Trainor,2,26
2,27,Fleetwood Mac,You Make Loving Fun,Fleetwood Mac,2,27
2,28,Ed Sheeran,Thinking Out Load,Ed Sheeran,2,28
2,29,Leona Lewis,Bleeding Love,Leona Lewis,2,29
2,30,Cyndi Lauper,True Colors,Cyndi Lauper,2,30
2,31,Eddie Rabbitt,You Can't Run From Love,Eddie Rabbitt,2,31
2,32,Atlantic Starr,All In The Name of Love,Atlantic Starr,2,32
2,33,Dionne Warwick,I'll Never Love This Way Again,Dionne Warwick,2,33
2,34,Kenny Loggins,Celebrate Me Home,Kenny Loggins,2,34
2,35,Eurythmics,Here Comes the Rain Again,Eurythmics,2,35
2,36,Natalie Imbruglia,Torn,Natalie Imbruglia,2,36
2,37,Phil Collins,Another Day in Paradise,Phil Collins,2,37
2,38,Plain White T's,Hey Delilah,Plain White T's,2,38
2,39,Don Henley,If Dirt Were Dollars,Don Henley,2,39
2,40,Whitney Houston,Thinking About You,Whitney Houston,2,40
2,41,Styx,Babe,Styx,2,41
2,42,John Lennon,Woman,John Lennon,2,42
2,43,Ace of Base,Don't Turn Around,Ace of Base,2,43
2,44,Taylor Dayne,Don't Rush Me,Taylor Dayne,2,44
2,45,Eric Carmen,Make Me Lose Control,Eric Carmen,2,45
2,46,Maroon 5,Daylight,Maroon 5,2,46
2,47,Bon Jovi,You Give Love a Bad Name,Bon Jovi,2,47
2,48,Faith Hill,Breathe,Faith Hill,2,48
2,49,Rod Stewart,The First Cut Is The Deepest,Rod Stewart,2,49
2,50,Taylor Swift,I Knew You Were Trouble,Taylor Swift,2,50
2,51,Celine Dion,Let's Talk About Love,Celine Dion,2,51
2,52,Poison,Fallen Angel,Poison,2,52
2,53,The Bangles,Manic Monday,The Bangles,2,53
2,54,Chicago,Colour My World,Chicago,2,54
2,55,Anna Kendrick,Cups,Anna Kendrick,2,55
2,56,Bryan Adams,Straight From The Heart,Bryan Adams,2,56
2,57,Bobby McFerrin,Simple Pleasure,Bobby McFerrin,2,57
2,58,A Great Big World,Say Something,A Great Big World,2,58
2,59,The Commodores,Too Hot Ta Trot,The Commodores,2,59
2,60,Kenny G,Midnight Motion,Kenny G,2,60
2,61,Traveling Willburys,Margarita,Traveling Willburys,2,61
2,62,Air Supply,Crazy Love,Air Supply,2,62
2,63,Luther Vandross,Dance with My Father,Luther Vandross,2,63
2,64,Los Lobos,La Bamba,Los Lobos,2,64
2,65,Phillip Phillips,"Gone, Gone, Gone",Phillip Phillips,2,65
2,66,Billy Squier,Everybody Wants You,Billy Squier,2,66
2,67,Peter Cetera,No Explanation,Peter Cetera,2,67
2,68,Whitesnake,Is This Love,Whitesnake,2,68
2,69,Spandau Ballet,TRUE,Spandau Ballet,2,69
2,70,Patsy Cline,Your Cheating Heart,Patsy Cline,2,70
2,71,Police,Murder by Numbers,Police,2,71
2,72,Helen St John,Love Theme From Flashdance,Helen St John,2,72
2,73,Justin Timberlake,Suit & Tie,Justin Timberlake,2,73
2,74,Lady Antebellum,Need You Now,Lady Antebellum,2,74
